S1,S2,pvalue,down,name,up,w
600166,600104,0.03935459374347264,-4.672290017649582,"{600104, 600166}",-2.470715197130736,1.4379227504473184
600393,600020,0.039970155074930236,1.6700580032068832,"{600393, 600020}",1.904243706093209,0.27018292310693603
600527,600302,0.04264653621456135,-2.6879967852640294,"{600302, 600527}",-1.5379189549792618,1.2615502324316723
600085,600535,0.04264872211988836,-8.056961819448897,"{600085, 600535}",-5.958875256230672,1.3961253283001602
600115,600270,0.042781058541751515,1.3694204414359783,"{600115, 600270}",2.3849971381514816,1.1237790921276745
600063,600083,0.04321859624561298,-1.0219400157847829,"{600083, 600063}",-0.04672251871082195,0.6997967982201518
600263,600051,0.04551480048413284,-3.621958658994606,"{600051, 600263}",-2.391875930595994,1.195960001084606
600409,600227,0.04590622205338727,3.3822738612444807,"{600409, 600227}",4.264045891352109,1.0054653400745945
600010,600569,0.04632483136877221,-1.1670411162726697,"{600569, 600010}",-0.5796733313430269,1.406026194207087
600258,600358,0.04769444622139918,-0.08695312754443296,"{600258, 600358}",0.6651460548779821,0.27618043136263026
600197,600172,0.048411563194290894,-0.6425890831031559,"{600172, 600197}",0.22521328993025838,0.8048075932821614
600350,600033,0.04924041802139971,-0.2839007078110047,"{600033, 600350}",0.19252768736373566,1.1876842094972146
600270,600026,0.04934622897996548,-5.646917224452636,"{600026, 600270}",-3.547357083705315,2.188959775787913
